"Story","Title","Result","Date","Stability","Duration (s)"
"Manage Cart","View Cart Detail (filled)","SUCCESS","2022-11-09T19:28:38.0876152+07:00[Asia/Jakarta]","0.0","44.59"
"Manage Cart","View Cart Detail (empty)","SUCCESS","2022-11-09T19:29:23.8113685+07:00[Asia/Jakarta]","0.0","8.79"
"Manage Cart","Delete Product From Cart","SUCCESS","2022-11-09T19:29:33.6242202+07:00[Asia/Jakarta]","0.0","19.02"
"Manage Cart","Add Product Quantity","SUCCESS","2022-11-09T19:29:53.5903777+07:00[Asia/Jakarta]","0.0","19.44"
"Manage Cart","Reduce Product Quantity","SUCCESS","2022-11-09T19:30:13.9361847+07:00[Asia/Jakarta]","0.0","20.17"
